DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGENCIA;SG_UF;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;CD_CARGO;DS_CARGO;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_LOCAL_VOTACAO
21/12/2020;16:55:14;2020;2;ELEIÇÃO ORDINÁRIA;1;426;ELEIÇÕES MUNICIPAIS 2020;15/11/2020;M;MG;50393;POMPÉU;50393;POMPÉU;223;1;11;PREFEITO;96;VOTO NULO;14;1015
21/12/2020;16:55:14;2020;2;ELEIÇÃO ORDINÁRIA;1;426;ELEIÇÕES MUNICIPAIS 2020;15/11/2020;M;MG;50393;POMPÉU;50393;POMPÉU;223;1;11;PREFEITO;10;OZEAS DA SILVA CAMPOS;142;1015
21/12/2020;16:55:14;2020;2;ELEIÇÃO ORDINÁRIA;1;426;ELEIÇÕES MUNICIPAIS 2020;15/11/2020;M;MG;50393;POMPÉU;50393;POMPÉU;223;1;11;PREFEITO;15;JOSÉ EVANGÉLIO VALADARES;102;1015
21/12/2020;16:55:14;2020;2;ELEIÇÃO ORDINÁRIA;1;426;ELEIÇÕES MUNICIPAIS 2020;15/11/2020;M;MG;50393;POMPÉU;50393;POMPÉU;223;1;11;PREFEITO;95;VOTO BRANCO;5;1015
21/12/2020;16:55:14;2020;2;ELEIÇÃO ORDINÁRIA;1;426;ELEIÇÕES MUNICIPAIS 2020;15/11/2020;M;MG;50393;POMPÉU;50393;POMPÉU;223;2;11;PREFEITO;96;VOTO NULO;22;1015
21/12/2020;16:55:14;2020;2;ELEIÇÃO ORDINÁRIA;1;426;ELEIÇÕES MUNICIPAIS 2020;15/11/2020;M;MG;50393;POMPÉU;50393;POMPÉU;223;2;11;PREFEITO;10;OZEAS DA SILVA CAMPOS;112;1015
21/12/2020;16:55:14;2020;2;ELEIÇÃO ORDINÁRIA;1;426;ELEIÇÕES MUNICIPAIS 2020;15/11/2020;M;MG;50393;POMPÉU;50393;POMPÉU;223;2;11;PREFEITO;15;JOSÉ EVANGÉLIO VALADARES;139;1015
21/12/2020;16:55:14;2020;2;ELEIÇÃO ORDINÁRIA;1;426;ELEIÇÕES MUNICIPAIS 2020;15/11/2020;M;MG;50393;POMPÉU;50393;POMPÉU;223;2;11;PREFEITO;95;VOTO BRANCO;7;1015
21/12/2020;16:55:14;2020;2;ELEIÇÃO ORDINÁRIA;1;426;ELEIÇÕES MUNICIPAIS 2020;15/11/2020;M;MG;50393;POMPÉU;50393;POMPÉU;223;3;11;PREFEITO;10;OZEAS DA SILVA CAMPOS;127;1015
21/12/2020;16:55:14;2020;2;ELEIÇÃO ORDINÁRIA;1;426;ELEIÇÕES MUNICIPAIS 2020;15/11/2020;M;MG;50393;POMPÉU;50393;POMPÉU;223;3;11;PREFEITO;15;JOSÉ EVANGÉLIO VALADARES;131;1015
21/12/2020;16:55:14;2020;2;ELEIÇÃO ORDINÁRIA;1;426;ELEIÇÕES MUNICIPAIS 2020;15/11/2020;M;MG;50393;POMPÉU;50393;POMPÉU;223;3;11;PREFEITO;95;VOTO BRANCO;4;1015
21/12/2020;16:55:14;2020;2;ELEIÇÃO ORDINÁRIA;1;426;ELEIÇÕES MUNICIPAIS 2020;15/11/2020;M;MG;50393;POMPÉU;50393;POMPÉU;223;3;11;PREFEITO;96;VOTO NULO;16;1015
21/12/2020;16:55:14;2020;2;ELEIÇÃO ORDINÁRIA;1;426;ELEIÇÕES MUNICIPAIS 2020;15/11/2020;M;MG;50393;POMPÉU;50393;POMPÉU;223;4;11;PREFEITO;96;VOTO NULO;10;1015
21/12/2020;16:55:14;2020;2;ELEIÇÃO ORDINÁRIA;1;426;ELEIÇÕES MUNICIPAIS 2020;15/11/2020;M;MG;50393;POMPÉU;50393;POMPÉU;223;4;11;PREFEITO;10;OZEAS DA SILVA CAMPOS;133;1015
21/12/2020;16:55:14;2020;2;ELEIÇÃO ORDINÁRIA;1;426;ELEIÇÕES MUNICIPAIS 2020;15/11/2020;M;MG;50393;POMPÉU;50393;POMPÉU;223;4;11;PREFEITO;15;JOSÉ EVANGÉLIO VALADARES;132;1015
21/12/2020;16:55:14;2020;2;ELEIÇÃO ORDINÁRIA;1;426;ELEIÇÕES MUNICIPAIS 2020;15/11/2020;M;MG;50393;POMPÉU;50393;POMPÉU;223;4;11;PREFEITO;95;VOTO BRANCO;4;1015
21/12/2020;16:55:14;2020;2;ELEIÇÃO ORDINÁRIA;1;426;ELEIÇÕES MUNICIPAIS 2020;15/11/2020;M;MG;50393;POMPÉU;50393;POMPÉU;223;5;11;PREFEITO;96;VOTO NULO;19;1015
21/12/2020;16:55:14;2020;2;ELEIÇÃO ORDINÁRIA;1;426;ELEIÇÕES MUNICIPAIS 2020;15/11/2020;M;MG;50393;POMPÉU;50393;POMPÉU;223;5;11;PREFEITO;10;OZEAS DA SILVA CAMPOS;125;1015
21/12/2020;16:55:14;2020;2;ELEIÇÃO ORDINÁRIA;1;426;ELEIÇÕES MUNICIPAIS 2020;15/11/2020;M;MG;50393;POMPÉU;50393;POMPÉU;223;5;11;PREFEITO;15;JOSÉ EVANGÉLIO VALADARES;133;1015
21/12/2020;16:55:14;2020;2;ELEIÇÃO ORDINÁRIA;1;426;ELEIÇÕES MUNICIPAIS 2020;15/11/2020;M;MG;50393;POMPÉU;50393;POMPÉU;223;5;11;PREFEITO;95;VOTO BRANCO;3;1015
21/12/2020;16:55:14;2020;2;ELEIÇÃO ORDINÁRIA;1;426;ELEIÇÕES MUNICIPAIS 2020;15/11/2020;M;MG;50393;POMPÉU;50393;POMPÉU;223;6;11;PREFEITO;10;OZEAS DA SILVA CAMPOS;130;1015
